id,building_id,name,period
44728,Q,Asignatura 44728,1
44729,Q,Asignatura 44729,1
44730,Q,Asignatura 44730,1
44731,Q,Asignatura 44731,1
44732,Q,Asignatura 44732,1
44733,Q,Asignatura 44733,1
44756,Q,Asignatura 44756,1
44757,Q,Asignatura 44757,1
44758,Q,Asignatura 44758,1
44759,Q,Asignatura 44759,1
44760,Q,Asignatura 44760,1
101737,Q,Asignatura 101737,1
101738,Q,Asignatura 101738,1
101739,Q,Asignatura 101739,1
101740,Q,Asignatura 101740,1
101742,Q,Asignatura 101742,1
101743,Q,Asignatura 101743,1
101744,Q,Asignatura 101744,1
101745,Q,Asignatura 101745,1
101746,Q,Asignatura 101746,1
101747,Q,Asignatura 101747,1
101748,Q,Asignatura 101748,1
101749,Q,Asignatura 101749,1
101750,Q,Asignatura 101750,1
101751,Q,Asignatura 101751,1
101752,Q,Asignatura 101752,1
101753,Q,Asignatura 101753,1
101756,Q,Asignatura 101756,1
101757,Q,Asignatura 101757,1
101759,Q,Asignatura 101759,1
101760,Q,Asignatura 101760,1
101761,Q,Asignatura 101761,1
101763,Q,Asignatura 101763,1
101764,Q,Asignatura 101764,1
101765,Q,Asignatura 101765,1
101766,Q,Asignatura 101766,1
101768,Q,Asignatura 101768,1
101769,Q,Asignatura 101769,1
101770,Q,Asignatura 101770,1
102397,Q,Asignatura 102397,1
102404,Q,Asignatura 102404,1
102434,Q,Asignatura 102434,1
102435,Q,Asignatura 102435,1
102436,Q,Asignatura 102436,1
102437,Q,Asignatura 102437,1
102442,Q,Asignatura 102442,1
102443,Q,Asignatura 102443,1
102445,Q,Asignatura 102445,1
102447,Q,Asignatura 102447,1
102683,Q,Asignatura 102683,1
102684,Q,Asignatura 102684,1
102685,Q,Asignatura 102685,1
102687,Q,Asignatura 102687,1
102688,Q,Asignatura 102688,1
102689,Q,Asignatura 102689,1
102690,Q,Asignatura 102690,1
102691,Q,Asignatura 102691,1
102693,Q,Asignatura 102693,1
102694,Q,Asignatura 102694,1
102695,Q,Asignatura 102695,1
102696,Q,Asignatura 102696,1
102697,Q,Asignatura 102697,1
102699,Q,Asignatura 102699,1
102700,Q,Asignatura 102700,1
102703,Q,Asignatura 102703,1
102704,Q,Asignatura 102704,1
102707,Q,Asignatura 102707,1
102708,Q,Asignatura 102708,1
102709,Q,Asignatura 102709,1
102710,Q,Asignatura 102710,1
102712,Q,Asignatura 102712,1
102713,Q,Asignatura 102713,1
102714,Q,Asignatura 102714,1
102716,Q,Asignatura 102716,1
102717,Q,Asignatura 102717,1
102720,Q,Asignatura 102720,1
102721,Q,Asignatura 102721,1
102722,Q,Asignatura 102722,1
102723,Q,Asignatura 102723,1
102724,Q,Asignatura 102724,1
102725,Q,Asignatura 102725,1
102727,Q,Asignatura 102727,1
102729,Q,Asignatura 102729,1
102730,Q,Asignatura 102730,1
102731,Q,Asignatura 102731,1
102735,Q,Asignatura 102735,1
102736,Q,Asignatura 102736,1
102737,Q,Asignatura 102737,1
102738,Q,Asignatura 102738,1
102740,Q,Asignatura 102740,1
102741,Q,Asignatura 102741,1
102742,Q,Asignatura 102742,1
102743,Q,Asignatura 102743,1
102744,Q,Asignatura 102744,1
102745,Q,Asignatura 102745,1
102746,Q,Asignatura 102746,1
102747,Q,Asignatura 102747,1
102749,Q,Asignatura 102749,1
102750,Q,Asignatura 102750,1
102751,Q,Asignatura 102751,1
102752,Q,Asignatura 102752,1
102753,Q,Asignatura 102753,1
102754,Q,Asignatura 102754,1
102757,Q,Asignatura 102757,1
102758,Q,Asignatura 102758,1
102759,Q,Asignatura 102759,1
102760,Q,Asignatura 102760,1
102761,Q,Asignatura 102761,1
102762,Q,Asignatura 102762,1
102763,Q,Asignatura 102763,1
102764,Q,Asignatura 102764,1
102765,Q,Asignatura 102765,1
102767,Q,Asignatura 102767,1
102768,Q,Asignatura 102768,1
102769,Q,Asignatura 102769,1
102771,Q,Asignatura 102771,1
102772,Q,Asignatura 102772,1
102773,Q,Asignatura 102773,1
102774,Q,Asignatura 102774,1
102775,Q,Asignatura 102775,1
102776,Q,Asignatura 102776,1
102777,Q,Asignatura 102777,1
102778,Q,Asignatura 102778,1
102781,Q,Asignatura 102781,1
102782,Q,Asignatura 102782,1
102783,Q,Asignatura 102783,1
102784,Q,Asignatura 102784,1
102785,Q,Asignatura 102785,1
102786,Q,Asignatura 102786,1
102787,Q,Asignatura 102787,1
102788,Q,Asignatura 102788,1
102789,Q,Asignatura 102789,1
102790,Q,Asignatura 102790,1
102791,Q,Asignatura 102791,1
102792,Q,Asignatura 102792,1
102793,Q,Asignatura 102793,1
102794,Q,Asignatura 102794,1
103518,Q,Asignatura 103518,1
103519,Q,Asignatura 103519,1
103795,Q,Asignatura 103795,1
103796,Q,Asignatura 103796,1
103797,Q,Asignatura 103797,1
103798,Q,Asignatura 103798,1
103799,Q,Asignatura 103799,1
103800,Q,Asignatura 103800,1
103801,Q,Asignatura 103801,1
103802,Q,Asignatura 103802,1
103803,Q,Asignatura 103803,1
103804,Q,Asignatura 103804,1
103805,Q,Asignatura 103805,1
103806,Q,Asignatura 103806,1
103807,Q,Asignatura 103807,1
103813,Q,Asignatura 103813,1
103814,Q,Asignatura 103814,1
103815,Q,Asignatura 103815,0
103816,Q,Asignatura 103816,1
103817,Q,Asignatura 103817,1
103818,Q,Asignatura 103818,1
103819,Q,Asignatura 103819,0
104337,Q,Asignatura 104337,1
104338,Q,Asignatura 104338,1
104339,Q,Asignatura 104339,1
104340,Q,Asignatura 104340,1
104341,Q,Asignatura 104341,1
104342,Q,Asignatura 104342,1
104343,Q,Asignatura 104343,1
104344,Q,Asignatura 104344,1
104345,Q,Asignatura 104345,1
104346,Q,Asignatura 104346,1
104347,Q,Asignatura 104347,1
104348,Q,Asignatura 104348,1
104349,Q,Asignatura 104349,1
104350,Q,Asignatura 104350,1
104351,Q,Asignatura 104351,1
104352,Q,Asignatura 104352,1
104353,Q,Asignatura 104353,1
104354,Q,Asignatura 104354,1
104355,Q,Asignatura 104355,1
104356,Q,Asignatura 104356,1
104357,Q,Asignatura 104357,1
104358,Q,Asignatura 104358,1
104359,Q,Asignatura 104359,1
104360,Q,Asignatura 104360,1
104361,Q,Asignatura 104361,1
104362,Q,Asignatura 104362,1
104363,Q,Asignatura 104363,1
104364,Q,Asignatura 104364,1
104365,Q,Asignatura 104365,1
104367,Q,Asignatura 104367,1
104368,Q,Asignatura 104368,1
104369,Q,Asignatura 104369,1
104371,Q,Asignatura 104371,1
104377,Q,Asignatura 104377,1
104524,Q,Asignatura 104524,1
104541,Q,Asignatura 104541,1
104542,Q,Asignatura 104542,1
104543,Q,Asignatura 104543,1
104544,Q,Asignatura 104544,1
104545,Q,Asignatura 104545,1
104547,Q,Asignatura 104547,1
104548,Q,Asignatura 104548,1
104550,Q,Asignatura 104550,1
104552,Q,Asignatura 104552,1
104553,Q,Asignatura 104553,1
104554,Q,Asignatura 104554,1
105072,Q,Asignatura 105072,1
105073,Q,Asignatura 105073,1
105074,Q,Asignatura 105074,1
105075,Q,Asignatura 105075,1
106040,Q,Asignatura 106040,0
106041,Q,Asignatura 106041,1
106042,Q,Asignatura 106042,1
106043,Q,Asignatura 106043,1
106044,Q,Asignatura 106044,1
106045,Q,Asignatura 106045,1
106046,Q,Asignatura 106046,1
106047,Q,Asignatura 106047,1
106048,Q,Asignatura 106048,0
106049,Q,Asignatura 106049,1
106050,Q,Asignatura 106050,0
106051,Q,Asignatura 106051,1
106052,Q,Asignatura 106052,1
106053,Q,Asignatura 106053,1
106056,Q,Asignatura 106056,1
106057,Q,Asignatura 106057,1
106059,Q,Asignatura 106059,1
106060,Q,Asignatura 106060,1
106062,Q,Asignatura 106062,1
106063,Q,Asignatura 106063,1
106064,Q,Asignatura 106064,1
106066,Q,Asignatura 106066,1
106550,Q,Asignatura 106550,1
106553,Q,Asignatura 106553,1
106558,Q,Asignatura 106558,1
106559,Q,Asignatura 106559,1
106560,Q,Asignatura 106560,1
106562,Q,Asignatura 106562,1
106566,Q,Asignatura 106566,1
106568,Q,Asignatura 106568,1
106569,Q,Asignatura 106569,1
106570,Q,Asignatura 106570,1
106572,Q,Asignatura 106572,1
106574,Q,Asignatura 106574,1
106575,Q,Asignatura 106575,1
106577,Q,Asignatura 106577,1
106578,Q,Asignatura 106578,1
106579,Q,Asignatura 106579,1
106581,Q,Asignatura 106581,1
106582,Q,Asignatura 106582,1
106589,Q,Asignatura 106589,1
106595,Q,Asignatura 106595,1
106924,Q,Asignatura 106924,1
106925,Q,Asignatura 106925,1
106926,Q,Asignatura 106926,1
106927,Q,Asignatura 106927,1
106928,Q,Asignatura 106928,1
106929,Q,Asignatura 106929,1
106930,Q,Asignatura 106930,1
106931,Q,Asignatura 106931,1
106932,Q,Asignatura 106932,1
106933,Q,Asignatura 106933,1
106934,Q,Asignatura 106934,1
106935,Q,Asignatura 106935,1
106936,Q,Asignatura 106936,1
106937,Q,Asignatura 106937,1
106938,Q,Asignatura 106938,1
106939,Q,Asignatura 106939,1
106940,Q,Asignatura 106940,1
106941,Q,Asignatura 106941,1
106942,Q,Asignatura 106942,1
106943,Q,Asignatura 106943,1
